weather_condition,place,temperature,clothes_category
clear,home,-10:0,Pijamas
clear,home,1:10,Pijamas
clear,home,10:20,Pijamas
clear,home,20:33,Pijamas
clear,office,-10:0,"Slacks, button-up shirt, coat, boots"
clear,office,1:10,"Slacks, button-up shirt, boots"
clear,office,10:20,"Skirt, blouse, heels shoes"
clear,office,20:33,"Dress, sandals"
clear,restaurant,-10:0,"Slacks, button-up shirt, coat, boots"
clear,restaurant,1:10,"Slacks, button-up shirt, boots"
clear,restaurant,10:20,"Pants, blouse, heels shoes"
clear,restaurant,20:33,"Jumpsuit, heels shoes"
clear,park,-10:0,"Jeans, blouse, coat, boots"
clear,park,1:10,"Jeans, blouse, boots"
clear,park,10:20,"Pants, hoodie,  sneakers"
clear,park,20:33,"Shorts, t-shirt, sandals"
clear,gym,-10:0,"Leggings, athletic shirt, sneakers"
clear,gym,1:10,"Leggings, t-shirt, sneakers"
clear,gym,10:20,"Leggins, t-shirt, running shoes"
clear,gym,20:33,"Athletic shorts, sport bra, sneakers"
clear,beach,-10:0,"Swinsuit, summer dress, sandals, hat"
clear,beach,1:10,"Swinsuit, summer dress, sandals, hat"
clear,beach,10:20,"Swinsuit, summer dress, flip-flops, hat"
clear,beach,20:33,"Swinsuit, summer dress, sandals, hat"
clear,shopping mall,-10:0,"Jeans, blouse, coat, boots"
clear,shopping mall,1:10,"Jeans, blouse, boots"
clear,shopping mall,10:20,"Pants, hoodie,  sneakers"
clear,shopping mall,20:33,"Shorts, t-shirt, sandals"
clear,party,-10:0,"Slacks, button-up shirt, coat, boots"
clear,party,1:10,"Slacks, button-up shirt, boots"
clear,party,10:20,"Pants, blouse, heels shoes"
clear,party,20:33,"Jumpsuit, heels shoes"
clear,ski resort,-10:0,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
clear,ski resort,1:10,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
clear,ski resort,10:20,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
clear,ski resort,20:33,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
sun,home,-10:0,Pijamas
sun,home,1:10,Pijamas
sun,home,10:20,Pijamas
sun,home,20:33,Pijamas
sun,office,-10:0,"Slacks, button-up shirt, coat, boots"
sun,office,1:10,"Slacks, button-up shirt, boots"
sun,office,10:20,"Skirt, blouse, heels shoes"
sun,office,20:33,"Dress, sandals"
sun,restaurant,-10:0,"Slacks, button-up shirt, coat, boots"
sun,restaurant,1:10,"Slacks, button-up shirt, boots"
sun,restaurant,10:20,"Pants, blouse, heels shoes"
sun,restaurant,20:33,"Jumpsuit, heels shoes"
sun,park,-10:0,"Jeans, blouse, coat, boots"
sun,park,1:10,"Jeans, blouse, boots"
sun,park,10:20,"Pants, hoodie,  sneakers"
sun,park,20:33,"Shorts, t-shirt, sandals"
sun,gym,-10:0,"Leggings, athletic shirt, sneakers"
sun,gym,1:10,"Leggings, t-shirt, sneakers"
sun,gym,10:20,"Leggins, t-shirt, running shoes"
sun,gym,20:33,"Athletic shorts, sport bra, sneakers"
sun,beach,-10:0,"Swinsuit, summer dress, sandals, hat"
sun,beach,1:10,"Swinsuit, summer dress, sandals, hat"
sun,beach,10:20,"Swinsuit, summer dress, flip-flops, hat"
sun,beach,20:33,"Swinsuit, summer dress, sandals, hat"
sun,shopping mall,-10:0,"Jeans, blouse, coat, boots"
sun,shopping mall,1:10,"Jeans, blouse, boots"
sun,shopping mall,10:20,"Pants, hoodie,  sneakers"
sun,shopping mall,20:33,"Shorts, t-shirt, sandals"
sun,party,-10:0,"Slacks, button-up shirt, coat, boots"
sun,party,1:10,"Slacks, button-up shirt, boots"
sun,party,10:20,"Pants, blouse, heels shoes"
sun,party,20:33,"Jumpsuit, heels shoes"
sun,ski resort,-10:0,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
sun,ski resort,1:10,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
sun,ski resort,10:20,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
sun,ski resort,20:33,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
cloud,home,-10:0,Pijamas
cloud,home,1:10,Pijamas
cloud,home,10:20,Pijamas
cloud,home,20:33,Pijamas
cloud,office,-10:0,"Slacks, button-up shirt, coat, boots"
cloud,office,1:10,"Slacks, button-up shirt, boots"
cloud,office,10:20,"Skirt, blouse, heels shoes"
cloud,office,20:33,"Dress, heels shoes"
cloud,restaurant,-10:0,"Slacks, button-up shirt, coat, boots"
cloud,restaurant,1:10,"Slacks, button-up shirt, jacket, boots"
cloud,restaurant,10:20,"Pants, blouse, sneakers"
cloud,restaurant,20:33,"Jumpsuit, heels shoes"
cloud,park,-10:0,"Jeans, blouse, coat, boots"
cloud,park,1:10,"Jeans, blouse, boots"
cloud,park,10:20,"Pants, hoodie,  sneakers"
cloud,park,20:33,"Pants, t-shirt, sneakers"
cloud,gym,-10:0,"Track pants, hoodie, sneakers"
cloud,gym,1:10,"Leggings, t-shirt, sneakers"
cloud,gym,10:20,"Leggins, t-shirt, running shoes"
cloud,gym,20:33,"Leggings, t-shirt, sneakers"
cloud,beach,-10:0,"Swinsuit, summer dress, sandals, hat"
cloud,beach,1:10,"Swinsuit, summer dress, sandals, hat"
cloud,beach,10:20,"Swinsuit, summer dress, flip-flops, hat"
cloud,beach,20:33,"Swinsuit, summer dress, sandals, hat"
cloud,shopping mall,-10:0,"Jeans, blouse, coat, boots"
cloud,shopping mall,1:10,"Jeans, blouse, boots"
cloud,shopping mall,10:20,"Pants, hoodie,  sneakers"
cloud,shopping mall,20:33,"Pants, t-shirt, sneakers"
cloud,party,-10:0,"Slacks, button-up shirt, coat, boots"
cloud,party,1:10,"Slacks, button-up shirt, jacket, boots"
cloud,party,10:20,"Pants, blouse, sneakers"
cloud,party,20:33,"Jumpsuit, heels shoes"
cloud,ski resort,-10:0,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
cloud,ski resort,1:10,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
cloud,ski resort,10:20,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
cloud,ski resort,20:33,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
overcast,home,-10:0,Pijamas
overcast,home,1:10,Pijamas
overcast,home,10:20,Pijamas
overcast,home,20:33,Pijamas
overcast,office,-10:0,"Slacks, button-up shirt, coat, boots"
overcast,office,1:10,"Slacks, button-up shirt, boots"
overcast,office,10:20,"Skirt, blouse, heels shoes"
overcast,office,20:33,"Dress, heels shoes"
overcast,restaurant,-10:0,"Slacks, button-up shirt, coat, boots"
overcast,restaurant,1:10,"Slacks, button-up shirt, jacket, boots"
overcast,restaurant,10:20,"Pants, blouse, sneakers"
overcast,restaurant,20:33,"Jumpsuit, heels shoes"
overcast,park,-10:0,"Jeans, blouse, coat, boots"
overcast,park,1:10,"Jeans, blouse, boots"
overcast,park,10:20,"Pants, hoodie,  sneakers"
overcast,park,20:33,"Pants, t-shirt, sneakers"
overcast,gym,-10:0,"Track pants, hoodie, sneakers"
overcast,gym,1:10,"Leggings, t-shirt, sneakers"
overcast,gym,10:20,"Leggins, t-shirt, running shoes"
overcast,gym,20:33,"Leggings, t-shirt, sneakers"
overcast,beach,-10:0,"Swinsuit, summer dress, sandals, hat"
overcast,beach,1:10,"Swinsuit, summer dress, sandals, hat"
overcast,beach,10:20,"Swinsuit, summer dress, flip-flops, hat"
overcast,beach,20:33,"Swinsuit, summer dress, sandals, hat"
overcast,shopping mall,-10:0,"Jeans, blouse, coat, boots"
overcast,shopping mall,1:10,"Jeans, blouse, boots"
overcast,shopping mall,10:20,"Pants, hoodie,  sneakers"
overcast,shopping mall,20:33,"Pants, t-shirt, sneakers"
overcast,party,-10:0,"Slacks, button-up shirt, coat, boots"
overcast,party,1:10,"Slacks, button-up shirt, jacket, boots"
overcast,party,10:20,"Pants, blouse, sneakers"
overcast,party,20:33,"Jumpsuit, heels shoes"
overcast,ski resort,-10:0,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
overcast,ski resort,1:10,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
overcast,ski resort,10:20,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
overcast,ski resort,20:33,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
rain,home,-10:0,Pijamas
rain,home,1:10,Pijamas
rain,home,10:20,Pijamas
rain,home,20:33,Pijamas
rain,office,-10:0,"Slacks, button-up shirt, coat, boots"
rain,office,1:10,"Slacks, button-up shirt, jacket, boots"
rain,office,10:20,"Pants, blouse, jacket, elegant shoes"
rain,office,20:33,"Skirt, blouse, elegant shoes"
rain,restaurant,-10:0,"Slacks, button-up shirt, raincoat, boots"
rain,restaurant,1:10,"Slacks, button-up shirt, raincoat, boots"
rain,restaurant,10:20,"Pants, blouse, jacket, sneakers"
rain,restaurant,20:33,"Jumpsuit, jacket, elegant shoes"
rain,park,-10:0,"Jeans, hoodie, coat, boots"
rain,park,1:10,"Jeans, blouse, coat, boots"
rain,park,10:20,"Jeans, hoodie,  sneakers"
rain,park,20:33,"Jeans, t-shirt, jacket, sneakers"
rain,gym,-10:0,"Track pants, hoodie, raincoat, sneakers"
rain,gym,1:10,"Leggings, hoodie, raincoat, sneakers"
rain,gym,10:20,"Leggins, t-shirt, raincoat, sneakers"
rain,gym,20:33,"Leggings, t-shirt, sneakers"
rain,beach,-10:0,"Swinsuit, summer dress, sandals, hat"
rain,beach,1:10,"Swinsuit, summer dress, sandals, hat"
rain,beach,10:20,"Swinsuit, summer dress, flip-flops, hat"
rain,beach,20:33,"Swinsuit, summer dress, sandals, hat"
rain,shopping mall,-10:0,"Jeans, hoodie, raincoat, boots"
rain,shopping mall,1:10,"Jeans, blouse, raincoat, boots"
rain,shopping mall,10:20,"Jeans, hoodie, raincoat, sneakers"
rain,shopping mall,20:33,"Jeans, t-shirt, jacket, sneakers"
rain,party,-10:0,"Slacks, button-up shirt, raincoat, boots"
rain,party,1:10,"Slacks, button-up shirt, jacket, boots"
rain,party,10:20,"Pants, blouse, jacket, sneakers"
rain,party,20:33,"Pants, t-shirt, raincoat, sneakers"
rain,ski resort,-10:0,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
rain,ski resort,1:10,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
rain,ski resort,10:20,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
rain,ski resort,20:33,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
snow,home,-10:0,Pijamas
snow,home,1:10,Pijamas
snow,home,10:20,Pijamas
snow,home,20:33,Pijamas
snow,office,-10:0,"Slacks, sweater, winter coat, boots"
snow,office,1:10,"Slacks, blouse, winter coat, boots"
snow,office,10:20,"Pants, button-up shirt, winter coat, boots"
snow,office,20:33,"Skirt, blouse, winter coat, boots"
snow,restaurant,-10:0,"Slacks, sweater, winter coat, boots"
snow,restaurant,1:10,"Slacks, blouse, winter coat, boots"
snow,restaurant,10:20,"Pants, button-up shirt, winter coat, boots"
snow,restaurant,20:33,"Skirt, blouse, winter coat, boots"
snow,park,-10:0,"Jeans, sweater, winter coat, boots, hat, scarf, gloves"
snow,park,1:10,"Jeans, hoodie, winter coat, boots, hat, scarf, gloves"
snow,park,10:20,"Jeans, blouse, coat, boots, scarf"
snow,park,20:33,"Jeans, blouse, coat, boots"
snow,gym,-10:0,"Track pants, hoodie, winter coat, boots"
snow,gym,1:10,"Leggings, hoodie, winter coat, boots"
snow,gym,10:20,"Leggins, t-shirt, winter coat, sneakers"
snow,gym,20:33,"Leggings, t-shirt, winter coat sneakers"
snow,beach,-10:0,"Swinsuit, summer dress, sandals, hat"
snow,beach,1:10,"Swinsuit, summer dress, sandals, hat"
snow,beach,10:20,"Swinsuit, summer dress, flip-flops, hat"
snow,beach,20:33,"Swinsuit, summer dress, sandals, hat"
snow,shopping mall,-10:0,"Pants, sweater, winter coat, boots, scarf"
snow,shopping mall,1:10,"Jeans, hoodie, winter coat, boots, scarf"
snow,shopping mall,10:20,"Jeans, blouse, coat, boots"
snow,shopping mall,20:33,"Pants, blouse, coat, boots"
snow,party,-10:0,"Slacks, sweater, winter coat, boots, scarf"
snow,party,1:10,"Slacks, blouse, winter coat, boots"
snow,party,10:20,"Pants, button-up shirt, winter coat, boots"
snow,party,20:33,"Skirt, blouse, winter coat, boots"
snow,ski resort,-10:0,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
snow,ski resort,1:10,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
snow,ski resort,10:20,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"
snow,ski resort,20:33,"Ski pants, thermal blouse, winter coat, boots, hat, scarf, gloves"